view,part,N,M,B,program,time_ratio,flops_ratio,oneshot_mb,chunked_mb,noisy,pipeline,rng_share_time,rng_share_flops
a,asian,100000,1000,10000,grad,1.6551659205636304,0.9999019810142209,2403.201152,172.321904,False,,,
a,asian,100000,1000,10000,grad + ckpt,4.721673124011411,1.960074232683578,2403.201152,11.442944,False,,,
a,asian,100000,12,10000,grad,10.269798445460449,0.9989140099691489,32.001152,3.681648,False,,,
a,asian,100000,12,10000,grad + ckpt,13.024819318289138,1.9539436573609517,32.001152,1.522688,False,,,
a,asian,100000,252,10000,grad,2.432773411893315,0.9998830740606277,608.001152,47.361776,False,,,
a,asian,100000,252,10000,grad + ckpt,5.384995337805614,1.9598662221978902,608.001152,6.162816,False,,,
a,asian,100000,52,10000,grad,6.262382172925731,0.9997536919850971,128.001152,10.561712,False,,,
a,asian,100000,52,10000,grad + ckpt,10.098321460940348,1.9588103895689528,128.001152,2.562752,False,,,
a,basket,1000000,,1000,grad,2.9472713792276246,1.0000158232279368,1632.051328,2.11732,False,,,
a,basket,1000000,,10000,grad,1.0285530025523684,1.0000024797746392,1632.051328,20.253896,False,,,
a,basket,1000000,,100000,grad,0.8487409117558824,1.0000005874800157,1632.051328,201.693192,False,,,
b,asian,100000,1000,,grad,1.5826385298280958,1.0342935798463464,,,False,one-shot,0.9048384746788611,0.9794251425795678
b,asian,100000,1000,10000,grad,0.8490379712299974,1.0342332911628789,,,False,chunked,0.7987361351456519,0.979467030332042
b,asian,100000,1000,10000,grad + ckpt,2.4220410293710715,2.0273727456122126,,,False,chunked,0.7987361351456519,0.979467030332042
b,asian,100000,12,,grad,1.7741126254881847,1.0381549886104784,,,False,one-shot,1.0463577214840898,0.9772209567198178
b,asian,100000,12,10000,grad,1.778350142866928,1.0376061639839254,,,False,chunked,0.7647812821744139,0.9777777904398626
b,asian,100000,12,10000,grad + ckpt,2.2554180998297975,2.0296281388801773,,,False,chunked,0.7647812821744139,0.9777777904398626
b,asian,100000,252,,grad,1.4998218472688456,1.0344329637982212,,,False,one-shot,0.8681339577678021,0.9793456205584388
b,asian,100000,252,10000,grad,1.0085338388766758,1.0343521309101864,,,False,chunked,0.6203871469769898,0.9793838772704827
b,asian,100000,252,10000,grad + ckpt,2.232410956901835,2.027428862253514,,,False,chunked,0.6203871469769898,0.9793838772704827
b,asian,100000,52,,grad,1.591790979993753,1.035150121116377,,,False,one-shot,0.9189551238180332,0.9789362822538178
b,asian,100000,52,10000,grad,1.400323566898582,1.035022650078097,,,False,chunked,0.4388025938762771,0.9790651621499369
b,asian,100000,52,10000,grad + ckpt,2.2580732279496085,2.0279126115419124,,,False,chunked,0.4388025938762771,0.9790651621499369
b,basket,1000000,,,grad,1.4688230445742727,1.445383738593955,,,False,one-shot,0.9560501388221541,0.5784391938412348
b,basket,1000000,,1000,grad,0.7017463968244567,1.4453860177178661,,,False,chunked,0.5693956616111304,0.5784328716681564
b,basket,1000000,,10000,grad,1.744045787011541,1.4453838270026858,,,False,chunked,1.0026333614879528,0.5784389526752747
b,basket,1000000,,100000,grad,1.4364603899802137,1.445383255632288,,,False,chunked,0.9173839290012175,0.5784396910906979
