d,greek,index,exact,mc,se,z
2,price,0,7.280608494011545,7.267427208852251,0.025180262210007465,-0.5234768823835383
2,delta,0,0.33729964446978206,0.3368861818139797,0.0007900498220222499,-0.5233374456613551
2,delta,1,0.21149829549041596,0.21123904040851804,0.0004953879835031432,-0.523337445661465
2,vega,0,5.8047718767279,5.844699717565668,0.08638065203905444,0.46223129711634636
2,vega,1,12.069466464853376,12.020550231269851,0.07222562834180347,-0.6772697546088641
2,corr,0,3.3672358127987656,3.37839863033706,0.028964653664453877,0.38539447657866494
10,price,0,2.0944653861688733,2.0903208620214415,0.007089375553428509,-0.5846106072667409
10,delta,0,0.0735973815581366,0.0734916373818427,0.00017638908329131581,-0.5994938820519802
10,delta,1,0.07061892281142844,0.07051745806274635,0.00016925068248370222,-0.599493882051876
10,delta,2,0.04597099821185684,0.045904947419880236,0.0001101775913885034,-0.5994938820517051
10,delta,3,0.0607627091176876,0.06067540570431876,0.00014562853097021457,-0.5994938820518569
10,delta,4,0.02208150850074849,0.022049781951810166,5.292222304212965e-05,-0.5994938820515564
10,delta,5,0.04659795136761554,0.0465309997739579,0.00011168019501474138,-0.5994938820513536
10,delta,6,0.05528824717376773,0.05520880942703887,0.00013250801902593516,-0.5994938820518702
10,delta,7,0.0478934127851632,0.04782459988207278,0.00011478499639548065,-0.5994938820517542
10,delta,8,0.025500521692057885,0.02546388273012336,6.111649014522751e-05,-0.5994938820514831
10,delta,9,0.030734444643281823,0.030690285619362136,7.366050804149603e-05,-0.5994938820515737
10,vega,0,-1.9215586969663598,-1.9244888400870621,0.019647887001586803,-0.14913273475491962
10,vega,1,0.8985813130379715,0.8819802780407449,0.01900265317460021,-0.8736166915584361
10,vega,2,-1.0130661174137168,-1.0097941647129047,0.013999524633074812,0.23371884307284513
10,vega,3,0.6943039145708715,0.7078338412929724,0.01955687576062624,0.6918245474228912
10,vega,4,0.36435295787373545,0.35207879288974736,0.0069322436483303185,-1.7705905341259047
10,vega,5,-2.47654784632476,-2.455946263963194,0.017629165258926674,1.1686079323088987
10,vega,6,-0.4310255167987717,-0.4494485969418385,0.019050003582912423,-0.9670906392685404
10,vega,7,1.157637087719701,1.1556644386854504,0.01620262479654691,-0.12174873262948482
10,vega,8,-0.5996288019396803,-0.5823730072986257,0.010170170374557627,1.6967065452731032
10,vega,9,0.5653666487029763,0.5566077047086536,0.010833583066904554,-0.8084992693765636
10,corr,0,0.2878220096879467,0.2838975856463455,0.006502387528848092,-0.6035358588196023
10,corr,1,0.2226740416453731,0.22204648624805315,0.004289124770606207,-0.14631315964987898
10,corr,2,0.3443567879709317,0.34429208063667316,0.0063446912987988584,-0.010198657619609088
10,corr,3,0.14454647098229034,0.13860898820688106,0.0032670624511513965,-1.8173765773337958
10,corr,4,0.34856207755056323,0.3400637135779426,0.005317743245885114,-1.5981147602785672
10,corr,5,0.46827595376696196,0.45408522725043554,0.007567961490898922,-1.8751055397932326
10,corr,6,0.45568643541871773,0.4444196459167702,0.007160236008976168,-1.5735220861188568
10,corr,7,0.27068366163957025,0.26435176437477553,0.004251858175423542,-1.4892070721912016
10,corr,8,0.36175729813440055,0.35170971054933853,0.005621559660122574,-1.7873309530691601
10,corr,9,0.25894488863467274,0.2567154287276799,0.0030753669017487707,-0.724941113766004
10,corr,10,0.4004482491665384,0.39134003703298637,0.005051190235644923,-1.803181370853496
10,corr,11,0.1680913031194441,0.16804553191693145,0.0028277687656238413,-0.01618633145293542
10,corr,12,0.4053385284008304,0.4057904344787237,0.005198733805974533,0.08692618140478003
10,corr,13,0.544552314236942,0.5463473516934338,0.007015940251244214,0.25585130320537797
10,corr,14,0.5299121190774089,0.5306833035123346,0.006803457890080225,0.11335183481478839
10,corr,15,0.3147746818648557,0.31632149775926616,0.004177284306249236,0.3702922236095891
10,corr,16,0.42068308719782427,0.4241775715262513,0.005862690249036226,0.5960547427866396
10,corr,17,0.30980754462941523,0.31331712341016016,0.005798959497408069,0.6052083623473461
10,corr,18,0.1300441542730691,0.12810328814605434,0.0024122984591631274,-0.8045713081821845
10,corr,19,0.313590918399388,0.31681033019115484,0.005059455598310918,0.6363158504329228
10,corr,20,0.4212939268610739,0.42339710957511295,0.006729940368815793,0.31251134464496144
10,corr,21,0.4099675122127129,0.4141710048395493,0.006760425287751082,0.6217793183000654
10,corr,22,0.243526027403106,0.2476296287789021,0.004225415278381873,0.9711711406902422
10,corr,23,0.3254622653067916,0.3304696724594603,0.0055698495695083216,0.8990201782255142
10,corr,24,0.20110825190476753,0.20961114700670355,0.00383294538569224,2.21837105576196
10,corr,25,0.4849562194090245,0.4888763735237972,0.006408989178749888,0.6116649607976636
10,corr,26,0.6515147539136362,0.6613947888037408,0.00829288812349568,1.1913864920126134
10,corr,27,0.6339988919895593,0.639128206774201,0.00940865218362397,0.5451699865757028
10,corr,28,0.3766035769782651,0.37624058402159954,0.00562849499082275,-0.06449201025449793
10,corr,29,0.503314797982959,0.5037753825011915,0.007284715297352607,0.06322615221488245
10,corr,30,0.2035641884962786,0.1874884484462895,0.006161453712483456,-2.609082336757434
10,corr,31,0.273478443756018,0.25722431899767106,0.008947051912432571,-1.8167017378943167
10,corr,32,0.266126022907116,0.2453511311747474,0.009658974239950793,-2.1508382998311464
10,corr,33,0.15808231437014894,0.1443861190787666,0.005759100954537581,-2.3781828794980804
10,corr,34,0.21127034628904248,0.19562200761392032,0.007483100524007776,-2.0911570845424476
10,corr,35,0.6594710605738102,0.6614094837479887,0.009612806886836299,0.20165006922514309
10,corr,36,0.6417412947157884,0.6491133508612225,0.009514785610908032,0.7748000267060637
10,corr,37,0.381202664765239,0.38638617637084754,0.005529825434886155,0.9373734608161736
10,corr,38,0.5094612848511394,0.5129857172719621,0.007504276638928202,0.4696565159311682
10,corr,39,0.8621477670963441,0.8559001918239625,0.006003473104637713,-1.040660158459832
