greek,method,K,T,leg,parity_over_plain,parity_over_plain_lo,parity_over_plain_hi,ratio_to_best,ratio_to_best_lo,ratio_to_best_hi,best_or_tied,plain_ratio_to_best
gamma,LR (parity),80.0,0.1,put,0.011374939189291045,0.00977988130121757,0.013167403788121536,1.790758088032174,1.51248993396904,2.1241960710552705,False,157.43012408524226
gamma,LR (parity),90.0,0.1,put,0.19525579977983532,0.17139393596449562,0.22211549764002972,1.9808392175036271,1.7939324969359927,2.177714902428122,False,10.144841893235247
gamma,LR (parity),100.0,0.1,put,0.8574595272264405,0.7417858887075218,0.9925983026316036,3.893430692013982,3.432104003531028,4.383392666008023,False,4.540658268277417
gamma,LR (parity),110.0,0.1,call,1.0,1.0,1.0,2.171024092169837,1.9216315087938465,2.4453081413408047,False,2.171024092169837
gamma,LR (parity),120.0,0.1,call,1.0,1.0,1.0,1.8809824607752188,1.6450811348251944,2.1328182141832155,False,1.8809824607752188
gamma,LR (parity),80.0,0.25,put,0.09369601271355289,0.0809450742625497,0.10804478649372716,1.737760088419372,1.5600088222005568,1.9418191411271628,False,18.546788044567553
gamma,LR (parity),90.0,0.25,put,0.28627290462112304,0.251326042686005,0.3242252476690623,6.496626074126938,5.711997213566874,7.345194296798711,False,22.693821068134632
gamma,LR (parity),100.0,0.25,put,0.777151415612161,0.68237043436976,0.892198866267611,3.3711763355425655,2.99362113022087,3.768743263014769,False,4.337862954141434
gamma,LR (parity),110.0,0.25,call,1.0,1.0,1.0,2.4997227748731405,2.2646740677913852,2.7649719216784447,False,2.4997227748731405
gamma,LR (parity),120.0,0.25,call,1.0,1.0,1.0,1.840919761993605,1.6152586517792193,2.101129848572316,False,1.840919761993605
gamma,LR (parity),80.0,1.0,put,0.23628501058841447,0.20691150682611353,0.271875301636656,1.8761170933270341,1.6955643819296982,2.0932838190516354,False,7.940059712865358
gamma,LR (parity),90.0,1.0,put,0.37296240789889873,0.3225126853573428,0.42614391798357654,2.550395041216079,2.2430056190612575,2.880283862736166,False,6.838209393766651
gamma,LR (parity),100.0,1.0,put,0.6013280501923532,0.5290949135014147,0.6813057390449322,3.6263363992601136,3.2330606437886984,4.063165527996297,False,6.030545886060227
gamma,LR (parity),110.0,1.0,call,1.0,1.0,1.0,3.1466558126957787,2.830944057132379,3.520511160212588,False,3.1466558126957787
gamma,LR (parity),120.0,1.0,call,1.0,1.0,1.0,2.6564932421020035,2.396932628938249,2.9443715124511742,False,2.6564932421020035
gamma,LR (parity),80.0,2.0,put,0.2536321542434716,0.21719093187472097,0.29513126704139264,1.8850957989327637,1.7115000777158957,2.065406532167185,False,7.432400692867929
gamma,LR (parity),90.0,2.0,put,0.3341931887437941,0.29027476948562814,0.384251230201615,2.593544529965452,2.3031110389023324,2.914058510098338,False,7.760614570615224
gamma,LR (parity),100.0,2.0,put,0.43946622968198673,0.377843942195907,0.5065741513173021,3.1148636030759698,2.7152672492313195,3.5485386894647513,False,7.087833814511742
gamma,LR (parity),110.0,2.0,put,0.588330751301539,0.5015599421382413,0.6943062069548219,4.154908663697858,3.6418325167584946,4.760648984570234,False,7.062198694367295
gamma,LR (parity),120.0,2.0,call,1.0,1.0,1.0,3.2569587686899224,2.978160105189038,3.589365383187195,False,3.2569587686899224
gamma,Pathwise-LR (parity),80.0,0.1,put,0.045399969853991806,0.03823956485817239,0.05340100724687256,1.290445540172328,1.1412727782297323,1.4402289022975887,False,28.423929450227714
gamma,Pathwise-LR (parity),90.0,0.1,put,0.47550134004478856,0.41205848125543215,0.5460938793168679,1.0,1.0,1.0,True,2.1030434949054144
gamma,Pathwise-LR (parity),100.0,0.1,put,0.8047678495827553,0.7190546490515425,0.8950025865647738,1.0,1.0,1.0,True,1.2425943711822807
gamma,Pathwise-LR (parity),110.0,0.1,call,1.0,1.0,1.0,1.014182774078169,0.8939790959668091,1.1502738912634278,True,1.014182774078169
gamma,Pathwise-LR (parity),120.0,0.1,call,1.0,1.0,1.0,1.2041725639962702,1.0581109292577766,1.3574440797916463,False,1.2041725639962702
gamma,Pathwise-LR (parity),80.0,0.25,put,0.21700919873004462,0.1883346768067134,0.24656760423297597,1.0,1.0,1.0,True,4.6080995914094
gamma,Pathwise-LR (parity),90.0,0.25,put,0.5640327834778772,0.48532080594747373,0.6496648352286205,2.9340726016973995,2.5318481542522218,3.396581665534144,False,5.201954013391991
gamma,Pathwise-LR (parity),100.0,0.25,put,0.8283131371726982,0.7404495249941142,0.9399449244386398,1.0,1.0,1.0,True,1.2072728961094652
gamma,Pathwise-LR (parity),110.0,0.25,call,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
gamma,Pathwise-LR (parity),120.0,0.25,call,1.0,1.0,1.0,1.0678352653713463,0.9333269404076324,1.2135604591026639,True,1.0678352653713463
gamma,Pathwise-LR (parity),80.0,1.0,put,0.46616275501103704,0.40885352082432086,0.5295879864121612,1.0,1.0,1.0,True,2.1451735241618
gamma,Pathwise-LR (parity),90.0,1.0,put,0.587291949054371,0.5109565973004441,0.6812516995800124,1.0,1.0,1.0,True,1.7027306463338234
gamma,Pathwise-LR (parity),100.0,1.0,put,0.5670493212270294,0.500109517801614,0.6429412084292295,1.0,1.0,1.0,True,1.7635150287035264
gamma,Pathwise-LR (parity),110.0,1.0,call,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
gamma,Pathwise-LR (parity),120.0,1.0,call,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
gamma,Pathwise-LR (parity),80.0,2.0,put,0.48639153400475493,0.42571353712823634,0.5539546815216669,1.0,1.0,1.0,True,2.0559568374194277
gamma,Pathwise-LR (parity),90.0,2.0,put,0.46469008455271105,0.40789828957613433,0.526898125846585,1.0,1.0,1.0,True,2.15197189103476
gamma,Pathwise-LR (parity),100.0,2.0,put,0.5250684768836094,0.4615368546460102,0.5979256310663315,1.0,1.0,1.0,True,1.9045134949544258
gamma,Pathwise-LR (parity),110.0,2.0,put,0.4854083934489296,0.4245445735323738,0.5539875487258936,1.0,1.0,1.0,True,2.0601209486609573
gamma,Pathwise-LR (parity),120.0,2.0,call,1.0,1.0,1.0,1.0,1.0,1.0,True,1.0
digital delta,LR (parity),80.0,0.1,put,0.05740781560509507,0.04852663181803923,0.06769026321232843,1.3000302165764814,1.1444359859971223,1.456646074786415,False,22.645526621659176
digital delta,LR (parity),90.0,0.1,put,0.5539190379454844,0.4787625829297047,0.6384560764394894,1.0,1.0,1.0,True,1.805317982405974
digital delta,LR (parity),100.0,0.1,put,0.9410841582761483,0.8441519191211594,1.0563477003214141,1.0,1.0,1.0,True,1.062604222168368
digital delta,LR (parity),110.0,0.1,call,1.0,0.9999999999999996,1.0000000000000002,1.0,0.9999999999999996,1.0000000000000002,True,1.0
digital delta,LR (parity),120.0,0.1,call,1.0,0.9999999999999999,1.0000000000000002,1.1918021030178316,1.0393996658304754,1.3608396030440841,False,1.1918021030178316
digital delta,LR (parity),80.0,0.25,put,0.28070562504705276,0.24615604890866305,0.32066671614392245,1.0,1.0,1.0,True,3.562450876545053
digital delta,LR (parity),90.0,0.25,put,0.7003782283775313,0.6056415556603423,0.8187120495923732,1.677159518635125,1.4609740489214775,1.93692882234737,False,2.3946482781458913
digital delta,LR (parity),100.0,0.25,put,1.0006340902939153,0.9029860409187139,1.1160125402123469,1.0006340902939153,0.9029860409187139,1.1160125402123469,True,1.0
digital delta,LR (parity),110.0,0.25,call,1.0,0.9999999999999996,1.0000000000000007,1.1305676885611218,0.9812757551907944,1.2976990177273127,True,1.1305676885611218
digital delta,LR (parity),120.0,0.25,call,0.9999999999999998,0.9999999999999994,1.0000000000000002,1.0,1.0,1.0,True,1.0000000000000002
digital delta,LR (parity),80.0,1.0,put,0.7128528124691137,0.6219624723633732,0.8156808746930733,1.0,1.0,1.0,True,1.4028141328871138
digital delta,LR (parity),90.0,1.0,put,0.9234708509972629,0.8095044611106418,1.0609300121149063,1.1821961994591554,1.0528419848328385,1.3254191392171137,False,1.2801662317576057
digital delta,LR (parity),100.0,1.0,put,0.93183535449995,0.8234098026999888,1.0588068202808585,1.0,1.0,1.0,True,1.0731509543728668
digital delta,LR (parity),110.0,1.0,call,1.0000000000000002,0.9999999999999993,1.000000000000001,1.0000000000000002,0.9999999999999993,1.000000000000001,True,1.0
digital delta,LR (parity),120.0,1.0,call,0.9999999999999996,0.9999999999999992,1.0000000000000002,1.0035966927835573,0.8746366038785511,1.1572045496040961,True,1.0035966927835578
digital delta,LR (parity),80.0,2.0,put,0.8799633006127818,0.7592732069976009,1.0099363031441653,1.000560157947327,0.8714968715698431,1.1402406674723795,True,1.1370475987470896
digital delta,LR (parity),90.0,2.0,put,0.9244373882805169,0.8101923293183899,1.0479679928029986,1.4008893447371034,1.2081796734779051,1.614849480233931,False,1.5153966753149202
digital delta,LR (parity),100.0,2.0,put,1.007036393939611,0.8804361017015493,1.150522723042718,1.007036393939611,0.8804361017015493,1.150522723042718,True,1.0
digital delta,LR (parity),110.0,2.0,put,0.9450657971866487,0.8371890502037767,1.0599664463931149,1.0,1.0,1.0,True,1.0581273843333279
digital delta,LR (parity),120.0,2.0,call,0.9999999999999993,0.9999999999999982,1.0,1.0,1.0,1.0,True,1.0000000000000007
