kind,sigma,T,K,greek,bs,ad,se,z_score
call,0.1,0.25,80.0,delta,0.9999989201240543,1.0000408752015075,5.002312671707141e-05,0.8387136152141987
call,0.1,0.25,80.0,vega,0.00026636940855904166,0.040404421158293034,0.050116898240143606,0.8008885856703605
call,0.1,0.25,80.0,rho,19.75152874661723,19.75155600987763,2.0755917220339967e-18,nan
call,0.1,0.25,100.0,delta,0.6083418808463948,0.6090357396552293,0.0005086902111986762,1.364010538357773
call,0.1,0.25,100.0,vega,19.206945765285237,19.22177104155276,0.03153644889757238,0.47009973493445384
call,0.1,0.25,100.0,rho,14.542338965750075,14.55909413988591,0.012144499969579498,1.3796512147726092
call,0.1,0.25,120.0,delta,0.00037389365625065,0.00036418590067014176,2.0920571452745187e-05,-0.4640291782868284
call,0.1,0.25,120.0,vega,0.06786807852586148,0.0665611972700062,0.003837187824283422,-0.34058308211674043
call,0.1,0.25,120.0,rho,0.00922780322433524,0.008977082206489382,0.0005156420181597648,-0.486230774483112
call,0.1,1.0,80.0,delta,0.9972940459299325,0.9974306276543289,0.00011634078990642406,1.1739796893780887
call,0.1,1.0,80.0,vega,0.8336345983543735,1.041303691273018,0.10013355532482295,2.0739210971286037
call,0.1,1.0,80.0,rho,75.81942669895483,75.8143549030782,0.004640175301555663,-1.0930181613894943
call,0.1,1.0,100.0,delta,0.7088403132116536,0.7093441548442606,0.0004968641997595728,1.014042937387671
call,0.1,1.0,100.0,vega,34.294385501938386,34.22095437608787,0.07019438462296784,-1.0461111133737582
call,0.1,1.0,100.0,rho,64.07907361234322,64.1335048898598,0.04458097388757976,1.2209530831208526
call,0.1,1.0,120.0,delta,0.10147077887179567,0.10101527796065841,0.0003328975110742093,-1.3682917293897114
call,0.1,1.0,120.0,vega,17.737706981433394,17.663565993097624,0.06065801012782717,-1.2222786105170613
call,0.1,1.0,120.0,rho,9.68458137661608,9.640558020606818,0.0317412435719643,-1.3869449037008175
call,0.1,2.0,80.0,delta,0.990755597436533,0.9903976587106371,0.00017966557347981306,-1.9922499283707402
call,0.1,2.0,80.0,vega,3.519044832936272,3.23446984312827,0.14096198916828606,-2.018806569679326
call,0.1,2.0,80.0,rho,142.8332229960885,142.82359173442865,0.016690198302487358,-0.577060948305978
