method,parameter,chosen_out_of_sample,rmse_out_of_sample,chosen_in_sample,rmse_in_sample,rmse_on_calibration
"FD, CRN",h,3.981071705534973,0.00032866754626293353,3.981071705534973,0.00032866754626293353,0.00029889155970715494
"Autodiff, sigmoid",eps,1.584893192461114,0.00033777117782472543,1.584893192461114,0.00033777117782472543,0.00032143668344382186
