greek,estimator,rmse,ci_lo,ci_hi,ratio_vs_ad,ratio_ci_lo,ratio_ci_hi,verdict,h_out_of_sample,h_in_sample,rmse_in_sample
delta,FD CRN (h = 2.51),0.004036803233571714,0.0037979986372861396,0.004251144777420114,0.9776280412704831,0.9619438940709668,0.9942528866350137,beats Autodiff (pathwise),,,
delta,FD independent (h = 10),0.011312740660441151,0.010741431160586831,0.011880702376982773,2.7397056168830374,2.528090083468612,2.9666280886036245,worse than Autodiff (pathwise),,,
delta,Autodiff (pathwise),0.004129181102790034,0.003882100537138143,0.004350021232456364,1.0,1.0,1.0,reference,,,
delta_crn,tuning,0.004036803233571714,,,,,,,2.511886431509577,2.511886431509577,0.004036803233571714
delta_indep,tuning,0.011312740660441151,,,,,,,10.0,10.0,0.011312740660441151
gamma_crn,tuning,0.0002949830247760215,,,,,,,6.30957344480193,6.30957344480193,0.0002949830247760215
gamma_indep,tuning,0.001246994169181754,,,,,,,15.84893192461111,15.84893192461111,0.001246994169181754
