d,method,ms,gflops,gbs,flops_per_byte,pct_gemm_peak,pct_triad_bw,bytes_x_price,flops_x_price,machine_triad_gbs,machine_gemm_gflops
20,price,2.8922000019520056,31.229890028019874,28.23706242475662,1.105989339763591,7.008546038214711,112.82671267259207,1.0,1.0,25.026930020284095,445.59727306828205
20,rev,10.028099999544793,19.10163161602848,30.96703702736275,0.6168375617967617,4.286747870896732,123.73486081698498,3.8025109507813366,2.1207542417061735,25.026930020284095,445.59727306828205
20,loop,1288.3318000021973,32.320046410349406,29.222746773723813,1.105989339763591,7.253196633767724,116.76520751861712,461.0,461.0,25.026930020284095,445.59727306828205
20,vec,2013.2045999998809,20.678317401024447,15.037002796437973,1.3751621703443995,4.640584368624662,60.08328941764181,370.6818813205277,460.8974807415796,25.026930020284095,445.59727306828205
20,fwd,583.8779500008968,39.63441798061471,26.146439679690854,1.5158629039425429,8.89467247133293,104.47322008132602,186.93335412665877,256.20982666137365,25.026930020284095,445.59727306828205
50,price,6.4433500010636635,81.54853607413222,31.353441915564186,2.600943663338303,18.30095043279943,125.27881721870206,1.0,1.0,25.026930020284095,445.59727306828205
50,rev,26.97950000219862,39.9186024912335,28.43925676671076,1.4036443645025125,8.958448559696748,113.63461976223613,3.7980020314699647,2.0496576773214423,25.026930020284095,445.59727306828205
50,loop,17118.183400001726,81.37292826059216,31.285924953926244,2.600943663338303,18.261540897743064,125.00903997641458,2651.0,2651.0,25.026930020284095,445.59727306828205
50,vec,29690.83479999972,46.90396407554068,14.448037997773106,3.246389861569443,10.526088670285299,57.72996522571128,2123.412341754232,2650.3550981779736,25.026930020284095,445.59727306828205
50,fwd,8878.692700000101,82.20947944554852,24.206824001465613,3.3961282752570554,18.449277949901404,96.72310579781943,1063.873254648522,1389.1304499707069,25.026930020284095,445.59727306828205
