h,delta_indep,delta_crn,gamma_indep,gamma_crn,ad_delta,ad_gamma
0.0001,733.2301326813069,0.0041290805709513585,26452767.66637732,0.0644472348868646,0.004129181102790033,0.01876201734584689
0.00015848931924611142,462.6369332570976,0.004129033218635361,10531036.386453997,0.051842495172126475,0.004129181102790033,0.01876201734584689
0.00025118864315095795,291.9041667099081,0.004129007432395773,4192481.0329617537,0.04449175683680428,0.004129181102790033,0.01876201734584689
0.00039810717055349735,184.1790737450815,0.0041289140118956754,1669056.7200613518,0.036355819452449846,0.004129181102790033,0.01876201734584689
0.000630957344480193,116.20913505454425,0.004129030025842298,664463.4228857236,0.029283629049343982,0.004129181102790033,0.01876201734584689
0.001,73.32300289954402,0.004129173046250311,264527.6370299807,0.02354269856798223,0.004129181102790033,0.01876201734584689
0.001584893192461114,46.263683276133925,0.004129361557402835,105310.33850397996,0.019011935825123578,0.004129181102790033,0.01876201734584689
0.0025118864315095794,29.19040695945625,0.0041293773051711185,41924.79402026233,0.015210510312692166,0.004129181102790033,0.01876201734584689
0.003981071705534969,18.417897696358168,0.004128832541777793,16690.556899808074,0.012039657450194249,0.004129181102790033,0.01876201734584689
0.00630957344480193,11.620903131736867,0.004128242014448196,6644.62774592811,0.009486084501558776,0.004129181102790033,0.01876201734584689
0.01,7.332289996186992,0.004127842754726784,2645.2723275212306,0.007560019974908129,0.004129181102790033,0.01876201734584689
0.015848931924611124,4.626358826001653,0.004127878984939295,1053.1008381871854,0.00605206904504582,0.004129181102790033,0.01876201734584689
0.025118864315095794,2.919032443918335,0.004128128946148257,419.24633489029475,0.004787524042077869,0.004129181102790033,0.01876201734584689
0.03981071705534969,1.841783991526745,0.004127881971071577,166.90453172482682,0.003755051795353689,0.004129181102790033,0.01876201734584689
0.0630957344480193,1.1620872339030404,0.004125248530962201,66.44558354477368,0.0029407407686519718,0.004129181102790033,0.01876201734584689
0.0999999999999999,0.7332276488222405,0.004123489134003203,26.452273570422392,0.0023709954025967826,0.004129181102790033,0.01876201734584689
0.15848931924611126,0.46263870579130384,0.004119588145748186,10.530799991046017,0.0019026606205078526,0.004129181102790033,0.01876201734584689
0.25118864315095796,0.29190682760159053,0.004116523447875255,4.19237465205636,0.0015344300560656834,0.004129181102790033,0.01876201734584689
0.3981071705534969,0.18418203255589025,0.0041093951261316295,1.669004777231967,0.001214509432885893,0.004129181102790033,0.01876201734584689
0.630957344480193,0.1162110898862959,0.004094239222638306,0.6644444063089484,0.0009444589587513043,0.004129181102790033,0.01876201734584689
0.999999999999999,0.07332541553375437,0.004071752218734316,0.264525337483137,0.000732220413458898,0.004129181102790033,0.01876201734584689
1.584893192461111,0.046285107927047126,0.004051819072779963,0.10531800246730331,0.000582262791364794,0.004129181102790033,0.01876201734584689
2.511886431509577,0.029256125209584847,0.004036803233571715,0.04193270551962146,0.0004590543378298823,0.004129181102790033,0.01876201734584689
3.981071705534969,0.018577635155880155,0.004136995558688566,0.016708690034726425,0.00035662035188181366,0.004129181102790033,0.01876201734584689
6.30957344480193,0.012304046306979715,0.004993924409024575,0.006677071699210331,0.00029498302477602153,0.004129181102790033,0.01876201734584689
10.0,0.01131274066044115,0.008845569296482152,0.002692399040922069,0.0003191368005798336,0.004129181102790033,0.01876201734584689
15.84893192461111,0.020182865591159924,0.019520183420618266,0.0012469941691817539,0.0006124819968256596,0.004129181102790033,0.01876201734584689
25.11886431509577,0.04199038505174807,0.041654397916613566,0.0015709286473237535,0.0014967501555323947,0.004129181102790033,0.01876201734584689
39.810717055349734,0.07343522064612194,0.07319364209219736,0.003579634405723329,0.00356766449225394,0.004129181102790033,0.01876201734584689
