K,T=0.1_ratio,T=0.1_lo,T=0.1_hi,T=2.0_ratio,T=2.0_lo,T=2.0_hi
80.0,5.538647440035108,4.923284290272053,6.230796256996721,3.6150567743420354,3.195446261190856,4.07053173739403
90.0,4.82388591477587,4.287177453053234,5.436369336616686,3.6062806410001897,3.3193347463813745,3.907136949055627
100.0,3.6541757902517746,3.3144863928951023,4.011559561137441,3.7215981053898233,3.3905603826802984,4.060690298810802
110.0,2.1406635447374533,1.9401407362926781,2.373294058587404,3.428050522449957,3.106578455108747,3.749581962609535
120.0,1.5620539090616958,1.4001590695431974,1.7413530964116195,3.2569587686899224,2.978160105189038,3.589365383187195
