method,median_ms,q25_ms,q75_ms,runs,flops,transcendentals,x_price,flops_x_price,transc_x_price
price,0.6187000017234823,0.5710249979529181,0.653125000098953,200,7000007.0,1000002.0,1.0,1.0,1.0
forward AD,4.423600001246086,4.127699999116885,4.811874999177235,200,46000112.0,1000002.0,7.149830271413416,6.571437999990572,1.0
reverse AD,3.8270000004558824,3.6702750003314577,3.9825000003474997,200,30000016.0,1000002.0,6.1855503310088835,4.2857122857162855,1.0
"bump, loop",4.734250000183238,4.655100000491075,4.81494999894494,200,49000049.0,7000014.0,7.651931448190188,7.0,7.0
"bump, vmap",3.8894999997864943,3.5567999984778,4.351099999439612,200,49000160.0,7000008.0,6.286568593747704,7.000015857127,6.999994000012
