method,parameter,chosen_out_of_sample,rmse_out_of_sample,chosen_in_sample,rmse_in_sample,rmse_on_calibration
"FD, CRN",h,6.30957344480193,0.0002949830247760192,6.30957344480193,0.0002949830247760192,0.00027625624928190193
"Autodiff, smoothed",eps,1.584893192461114,0.000331075791819963,1.584893192461114,0.000331075791819963,0.00031475165430237736
