kind,sigma,T,K,bs,mc,se,z_score
call,0.1,0.25,80.0,20.993777025936524,20.98926477856915,0.005000423483132355,-0.9023730455218018
call,0.1,0.25,100.0,2.6648322216391875,2.6619650306472065,0.003414172546268768,-0.8397908872867386
call,0.1,0.25,120.0,0.00047815272772404327,0.000496931698899485,4.022352131871092e-05,0.46686542002741654
call,0.1,1.0,80.0,23.90997789403842,23.919299950604387,0.010006578801131509,0.9315927802330372
call,0.1,1.0,100.0,6.804957708822144,6.794664360169705,0.00772960175782125,-1.3316790405176895
call,0.1,1.0,120.0,0.4624965105634864,0.46116667981981296,0.0020817768772840107,-0.6387960007550836
call,0.1,2.0,80.0,27.658948245609054,27.642190160513223,0.014115221769361789,-1.1872349843064434
call,0.1,2.0,100.0,11.412614831692593,11.434560415832015,0.011867823020485814,1.8491667849731277
call,0.1,2.0,120.0,2.5553425727936308,2.553991816896412,0.0061689923850541005,-0.21895891790871658
call,0.2,0.25,80.0,21.021298419676768,21.02345830389762,0.00995912283041727,0.2168749454776428
call,0.2,0.25,100.0,4.614997129602855,4.622299805817891,0.00661764043055964,1.1035166222256727
call,0.2,0.25,120.0,0.19976435000036297,0.19944851630467955,0.001342268200878164,-0.23529850105722872
call,0.2,1.0,80.0,24.58883544392775,24.57409828584697,0.01915832949627819,-0.769229805951694
call,0.2,1.0,100.0,10.450583572185565,10.439549473404243,0.014714509256974201,-0.7498788161142056
call,0.2,1.0,120.0,3.2474774165608125,3.2522902938387572,0.008696918198604759,0.5534003158402592
call,0.2,2.0,80.0,29.120226855091445,29.099559151873557,0.026890384829869905,-0.7685908308359747
call,0.2,2.0,100.0,16.126779724978633,16.115574513067514,0.02253252994413223,-0.49729044802784456
call,0.2,2.0,120.0,7.9282128864703765,7.93284484082892,0.016851180211296467,0.2748741809453813
call,0.4,0.25,80.0,22.033012680572583,22.037467606751047,0.018724385348237584,0.23792109036486275
call,0.4,0.25,100.0,8.552606881568877,8.535870672042883,0.01356994592557721,-1.2333291243592592
call,0.4,0.25,120.0,2.3909896775936232,2.3974248510886085,0.007466977357549018,0.8618177325098433
call,0.4,1.0,80.0,28.97640757683333,28.972896650051936,0.03662361808779995,-0.09586509920942639
call,0.4,1.0,100.0,18.02295145021668,17.9621798277641,0.031200408246350803,-1.9477829255547894
call,0.4,1.0,120.0,10.805973916005627,10.78445782986901,0.025463392305337916,-0.8449811352160534
call,0.4,2.0,80.0,35.9391648605035,35.89331800898508,0.05465273486533159,-0.8388757055140341
call,0.4,2.0,100.0,26.290239831748288,26.306120693562395,0.04967397963541078,0.3197018223759631
call,0.4,2.0,120.0,19.174316369367155,19.2386950407179,0.04468788477231345,1.4406291924255792
put,0.1,0.25,80.0,1.0654470283944217e-06,1.6174932239788165e-06,1.617493223978817e-06,0.341297377571966
put,0.1,0.25,100.0,1.422612271027333,1.4265254253083042,0.0024050330241400003,1.6270688351027711
put,0.1,0.25,120.0,18.5098142119935,18.510502819309202,0.004999222569787408,0.13774288023572742
put,0.1,1.0,80.0,0.008331854095542213,0.008475279822213145,0.0001875376276788197,0.7647837313830486
put,0.1,1.0,100.0,1.92790015889355,1.9312211971856597,0.0038044356417855432,0.8729384867582997
put,0.1,1.0,120.0,14.61002745064917,14.617354995753296,0.009093614023825504,0.8057902045245289
put,0.1,2.0,80.0,0.0459416884858066,0.04584237680741292,0.0005239537309507658,-0.1895428403830018
put,0.1,2.0,100.0,1.8963566352885337,1.8882601877808187,0.004277280974296742,-1.8928958738901136
put,0.1,2.0,120.0,11.135832737108771,11.137962688301503,0.010339183823285981,0.2060076722820855
put,0.2,0.25,80.0,0.0275224591872808,0.02791806544840631,0.0003615143560941061,1.0943030462185277
put,0.2,0.25,100.0,3.372777178991008,3.3773784992906495,0.005073718542370114,0.9068930925545811
put,0.2,0.25,120.0,18.709100409266142,18.702116978674667,0.009556004904567615,-0.7307897663528155
put,0.2,1.0,80.0,0.6871894039848696,0.6856251207365053,0.0026683540973902174,-0.5862352563680643
put,0.2,1.0,100.0,5.573526022256971,5.574714117585837,0.00866019218940974,0.13719041135362184
put,0.2,1.0,120.0,17.3950083566465,17.399050269274717,0.01481984664588834,0.27273646784589384
put,0.2,2.0,80.0,1.5072202979681997,1.5087040500585427,0.004542213087598166,0.3266584067564287
put,0.2,2.0,100.0,6.610521528574573,6.624516231848158,0.010585329076369112,1.3220848565612824
put,0.2,2.0,120.0,16.508703050785513,16.50423250656592,0.016968921061005778,-0.2634548303643524
put,0.4,0.25,80.0,1.0392367200830872,1.0354575872580873,0.0033845500505559067,-1.1165835247078555
put,0.4,0.25,100.0,7.310386930957016,7.304365222579816,0.009952178677573422,-0.6050643353871435
put,0.4,0.25,120.0,20.9003257368594,20.91416217320787,0.015884351437000982,0.8710734211180438
put,0.4,1.0,80.0,5.074761536890456,5.072873097205103,0.009776929910781162,-0.19315262588419677
put,0.4,1.0,100.0,13.145893900288087,13.126438877322732,0.016787108320586674,-1.1589263971982768
put,0.4,1.0,120.0,24.953504856091314,24.961867122489384,0.023373972151370912,0.35775974848927633
put,0.4,2.0,80.0,8.326158303380257,8.31948020864329,0.013511777101697786,-0.49424251796815444
put,0.4,2.0,100.0,16.77398163534422,16.77786556491184,0.020421843286568608,0.19018506376317548
put,0.4,2.0,120.0,27.7548065336823,27.75965701333984,0.02695237088931036,0.17996486014019805
