width,fd_mean,fd_bias,fd_std,fd_rmse,smooth_mean,smooth_bias,smooth_std,smooth_rmse
0.01,0.01826836109753627,-0.0004936562483106206,0.006663946495806871,0.006675557132155702,0.01850204222052875,-0.0002599751253181404,0.0037395422405025252,0.0037448357616789853
0.015848931924611134,0.01847370019973776,-0.0002883171461091315,0.005101966785088453,0.005105010452754629,0.01859047461714703,-0.0001715427286998611,0.0029517922654043387,0.0029538243567813014
0.025118864315095794,0.01843658373678376,-0.00032543360906313323,0.004184967241709124,0.0041934269930997935,0.01865367136327376,-0.00010834598257313324,0.002362432177164329,0.0023625542262681984
0.039810717055349734,0.01861924586818188,-0.00014277147766501158,0.0032100758184057635,0.00321004069775264,0.018678753039780796,-8.326430606609564e-05,0.0018949770816241419,0.0018949113985265004
0.06309573444801933,0.01874696918444015,-1.5048161406742283e-05,0.00261821349255498,0.0026156372561908264,0.018690404054654337,-7.161329119255433e-05,0.0015180024591565427,0.001518173661525166
0.1,0.018699268026834998,-6.274931901189412e-05,0.002045316371391757,0.002044233327680926,0.018702521708019407,-5.949563782748496e-05,0.0012094036534186566,0.001209657643066454
0.15848931924611143,0.01871797557274928,-4.404177309761184e-05,0.0016801652915219613,0.0016790619922441785,0.018715565688225418,-4.6451657621474074e-05,0.0009456025104702147,0.0009457978304520159
0.25118864315095807,0.018696555283159454,-6.546206268743734e-05,0.0013482399865725246,0.001348480938286333,0.018726802008513843,-3.5215337333048546e-05,0.0007347180059632855,0.0007348272226677322
0.3981071705534973,0.018719360902109048,-4.2656443737843636e-05,0.001017429362723602,0.0010173061266444093,0.01873300053290379,-2.901681294310149e-05,0.0005780904075339196,0.0005782405361763757
0.6309573444801934,0.018729179539375706,-3.283780647118581e-05,0.0007781224454149185,0.0007780372179479687,0.018723591827867765,-3.842551797912652e-05,0.00045604983685079546,0.0004572111232420072
1.0,0.018747305112772325,-1.471223307456665e-05,0.0006488670288631124,0.0006483847731905743,0.018680323277443563,-8.169406840332835e-05,0.00035519490114260387,0.0003641222483924815
1.584893192461114,0.018755607184267272,-6.410161579619572e-06,0.0005107186625901021,0.0005102479548069387,0.018565068153926004,-0.00019694919192088725,0.0002746839764979012,0.00033777117782472543
2.5118864315095824,0.018720488570458705,-4.1528775388186695e-05,0.0003947684841808503,0.00039655404546604176,0.01828878689854559,-0.00047323044730130173,0.00020688934519912845,0.0005163958278371387
3.981071705534973,0.01865542108569165,-0.00010659626015524157,0.00031121262809723406,0.00032866754626293353,0.017666248382158828,-0.0010957689636880638,0.000146372567588901,0.001105482564524423
6.309573444801936,0.01850104241739457,-0.0002609749284523226,0.00023669355242738886,0.00035216431302144977,0.016407420278794285,-0.0023545970670526065,9.452222749650628e-05,0.002356489747645989
10.0,0.018130171242891874,-0.0006318461029550179,0.0001656951735140908,0.0006531687979108137,0.01428577040413127,-0.004476246941715622,5.359781310885311e-05,0.004476567174000337
15.848931924611133,0.01722504491771883,-0.0015369724281280618,0.00010304885396488961,0.001540416201225093,0.011447071718316633,-0.0073149456275302584,2.611159059830482e-05,0.00731499213842758
