d,n_sens,chunk_fwd,chunk_vec,price_ms,price_q25_ms,price_q75_ms,price_runs,rev_ms,rev_q25_ms,rev_q75_ms,rev_runs,fwd_ms,fwd_q25_ms,fwd_q75_ms,fwd_runs,loop_ms,loop_q25_ms,loop_q75_ms,loop_runs,vec_ms,vec_q25_ms,vec_q75_ms,vec_runs,price_flops,price_transc,price_bytes,rev_flops,rev_transc,rev_bytes,fwd_flops,fwd_transc,fwd_bytes,loop_flops,loop_transc,loop_bytes,vec_flops,vec_transc,vec_bytes,price_temp_mb,rev_temp_mb,fwd_temp_mb,vec_temp_mb,price_x,price_flops_x,price_transc_x,price_bytes_x,rev_x,rev_flops_x,rev_transc_x,rev_bytes_x,fwd_x,fwd_flops_x,fwd_transc_x,fwd_bytes_x,loop_x,loop_flops_x,loop_transc_x,loop_bytes_x,vec_x,vec_flops_x,vec_transc_x,vec_bytes_x,max_err_fwd_vs_rev,max_err_vec_vs_loop,max_err_bump_vs_rev
2,5,5,10,0.7152999969548546,0.6876249990455108,0.743975001569197,100,2.0539499982987763,1.9874000008712756,2.1409750006569084,100,3.8914500019018305,3.713924998010043,4.087649999746645,100,7.840649999707239,7.699674997638795,8.022924998840608,100,5.923799999436596,5.736849999266269,6.120024998381268,100,2100245.0,200002.0,9600774.0,6100510.0,200002.0,36801564.0,17600974.0,200002.0,63203556.0,23102695.0,2200022.0,105608514.0,23100714.0,2200002.0,89605064.0,2.400016,8.8004,20.000144,33.60072,1.0,1.0,1.0,1.0,2.871452547242789,2.9046658842182698,1.0,3.833187199282058,5.44030479304956,8.380438472654381,1.0,6.583172981678352,10.961344936510734,11.0,11.0,11.0,8.281560219006224,10.999056776709384,10.99990000099999,9.333108351472497,4.529709940470639e-14,3.7451153289680406e-12,0.0002004098593317849
5,20,4,4,1.0019500005000737,0.9355750007671304,1.0743999991973396,100,2.8442999991966644,2.7863499999511987,2.953275000436406,100,18.269249998411397,17.568025000400667,18.71914999992441,100,44.359699999404256,42.36217499965278,46.41949999859207,42,49.34749999847554,48.57437499867956,51.14985000000161,40,7801373.0,500002.0,21604308.0,19002444.0,500002.0,82409096.0,212313904.0,500002.0,399267200.0,319856293.0,20500082.0,885776628.0,319810112.0,20500000.0,725689664.0,4.800016,18.400784,40.804864,32.007976,1.0,1.0,1.0,1.0,2.838764407183066,2.4357820091412115,1.0,3.8144751500487772,18.233694285436606,27.21494075465947,1.0,18.480906678427285,44.273366911786326,41.0,41.0,41.0,49.251459627572416,40.99408040097557,40.999836000655996,33.59004435596826,1.7763568394002505e-15,8.881784197001252e-12,0.00021922833902188188
10,65,2,2,1.7027000012603821,1.628400002118724,1.8657249993339065,100,5.7526500004314585,5.2065999998376356,5.902550000428164,100,93.33500000138883,92.12147499965795,93.91072499875008,20,284.6429999990505,277.687650000189,291.30809999878693,8,289.6008999996411,284.95194999959494,294.98154999964754,7,25305800.0,1000002.0,41617260.0,56511248.0,1000002.0,158435872.0,1989022720.0,1000002.0,2272006656.0,3315059800.0,131000262.0,5451861060.0,3314407680.0,131000000.0,4410685952.0,8.800016,34.402192,48.837184,32.071464,1.0,1.0,1.0,1.0,3.3785458367141596,2.2331342221941215,1.0,3.8069750867788987,54.81588062036758,78.59947996111563,1.0,54.59289381376861,167.1715509416518,131.0,131.0,131.0,170.0833381014102,130.97423041358107,130.999738000524,105.98213222110249,1.3322676295501878e-15,8.881784197001252e-12,9.37096870821108e-05
20,230,1,1,2.6713499992183642,2.577249999376363,2.777400001832575,100,9.753649999765912,9.647300000324321,9.916175000398653,100,538.8285999997606,537.2901750015444,541.0257499979707,4,1294.1159999973024,1280.3108999978576,1301.5504499999224,3,2041.2629999991623,2026.7578499988304,2059.414249999463,3,90323088.0,2000002.0,81667232.0,191553072.0,2000002.0,310540544.0,23141662720.0,2000002.0,15266329600.0,41638943568.0,922000922.0,37648593952.0,41629683712.0,922000000.0,30272563200.0,16.800016,66.408208,65.235008,32.85604,1.0,1.0,1.0,1.0,3.6512063198831397,2.1207542417061735,1.0,3.8025109507813366,201.7064780569456,256.20982666137365,1.0,186.93335412665877,484.44269765323156,461.0,461.0,461.0,764.1316190676755,460.8974807415796,460.999539000461,370.6818813205277,9.159339953157541e-16,0.0,5.5886212816158576e-05
35,665,1,1,4.743749999761349,4.6276750008473755,4.857249999986379,100,18.1070999988151,17.81017499979498,18.64465000016935,100,3025.234400000045,3015.6926500003465,3031.4652500001102,3,6228.044999999838,6172.099949999392,6229.804550001063,3,10606.594900000346,10594.640950001121,10609.578200001124,3,262871520.0,3500002.0,141806976.0,544200384.0,3500002.0,538830720.0,186663452672.0,3500002.0,75929157632.0,349881993120.0,4658502662.0,188745085056.0,349798662144.0,4658500096.0,151360978944.0,28.800016,114.425232,116.372096,63.103208,1.0,1.0,1.0,1.0,3.817043478203119,2.070214316103928,1.0,3.7997476231352683,637.7305718370993,710.0938613357582,1.0,535.440214393966,1312.8948617260949,1331.0,1331.0,1331.0,2235.9093334458917,1330.6829973212768,1330.999266857562,1067.3732930035826,7.945033519973776e-16,0.0,0.00012762105921604316
50,1325,1,1,6.4898500004346715,6.281749999288877,6.743274998370907,100,27.166600000782637,25.992449998739175,27.70029999919643,71,8819.731200001115,8818.667300001835,8820.118800000273,3,17301.77360000016,17273.528949999672,17367.416400000366,3,30040.886300001148,29831.189399999857,30094.22369999993,3,525445760.0,5000002.0,202021200.0,1076983936.0,5000002.0,767276928.0,729912705024.0,5000002.0,214924951552.0,1392956709760.0,13255005302.0,535558201200.0,1392617848832.0,13255000064.0,428974309376.0,40.800016,162.45128,174.913408,108.144872,1.0,1.0,1.0,1.0,4.186013544066981,2.0496576773214423,1.0,3.7980020314699647,1359.0038597826444,1389.1304499707069,1.0,1063.873254648522,2665.9743443748835,2651.0,2651.0,2651.0,4628.903025183802,2650.3550981779736,2650.998952400419,2123.412341754232,1.0755285551056204e-15,0.0,4.6196576802881584e-05
