estimator,mean,bias,std,rmse,rmse_ci_lo,rmse_ci_hi,ratio_vs_best,ratio_ci_lo,ratio_ci_hi,verdict
"Autodiff, naive (pathwise)",0.0,-0.01876201734584689,0.0,0.01876201734584689,,,,,,identically 0 (bias = -delta); not ranked
"FD, CRN (h = 4)",0.01865542108569165,-0.00010659626015524157,0.00031121262809723406,0.00032866754626293353,0.0003090117005511025,0.00034836559170806623,1.6517456449527625,1.5228298017304989,1.7921918567550814,worse than Likelihood ratio
"Autodiff, sigmoid (eps = 1.6)",0.018565068153925997,-0.0001969491919208942,0.0002746839764979012,0.00033777117782472543,0.00031857075071802616,0.0003564273508883522,1.697496690215427,1.5739983953541572,1.8364873116218146,worse than Likelihood ratio
Likelihood ratio,0.01877413364158689,1.2116295739997979e-05,0.00019881161525619527,0.00019898193603067312,0.0001866913930300108,0.00021108781770527133,1.0,1.0,1.0,reference
