greek,K,T,exact,method,rmse,ci_lo,ci_hi,bias,std,ratio_to_best,ratio_ci_lo,ratio_ci_hi,best,tie_with_best,width_out,width_in,rmse_in_sample,width_at_grid_edge,grid_extended,width_base,rmse_base,lr_over_pwlr,lr_over_pwlr_lo,lr_over_pwlr_hi,parity_over_plain,parity_over_plain_lo,parity_over_plain_hi,parity_leg
digital delta,90.0,0.25,0.02083963814093964,LR,0.0005375711227121276,0.0004906177307751026,0.0005825773190729271,6.941006766505409e-05,0.0005344089436715017,2.3946482781458913,2.1900063066002162,2.5998209726296353,False,False,,,,,,,,,,,,,,
digital delta,90.0,0.25,0.02083963814093964,LR (parity),0.0003765031105520404,0.0003335311261421169,0.0004221813620339404,-1.4638054251771767e-05,0.0003771625346062853,1.677159518635125,1.4609740489214775,1.93692882234737,False,False,,,,,,,,,,,0.7003782283775313,0.6056415556603423,0.8187120495923732,put
gamma,100.0,0.25,0.03928800094473793,"FD, CRN",0.0006167819973207689,0.0005582658036190337,0.0006730273051898665,-0.0001842292112116309,0.0005901023077598108,1.573017959519885,1.3665794898357342,1.8233283620388703,False,False,2.5118864315095824,2.5118864315095824,0.0006167819973207689,False,False,,,3.593108872170119,3.233354474109941,4.006918257427714,,,,
gamma,100.0,0.25,0.03928800094473793,LR,0.0017008806293449712,0.0015173029476892442,0.0018686051115701411,-5.2976008777896184e-05,0.00170432157114326,4.337862954141434,3.7350563962147376,4.989474390949764,False,False,,,,,,,,3.593108872170119,3.233354474109941,4.006918257427714,,,,
gamma,100.0,0.25,0.03928800094473793,LR (parity),0.0013218417888827476,0.001185674229355464,0.0014629569147244282,-1.0732272984252528e-05,0.001325115158797039,3.3711763355425655,2.99362113022087,3.768743263014769,False,False,,,,,,,,3.593108872170119,3.233354474109941,4.006918257427714,0.777151415612161,0.68237043436976,0.892198866267611,put
gamma,100.0,0.25,0.03928800094473793,Pathwise-LR,0.00047337297305931493,0.0004186342479958826,0.0005256109830423446,-2.8709344911172288e-05,0.0004736872843496636,1.2072728961094652,1.0638921217641517,1.350530953061134,False,False,,,,,,,,3.593108872170119,3.233354474109941,4.006918257427714,,,,
gamma,100.0,0.25,0.03928800094473793,Pathwise-LR (parity),0.0003921010523675283,0.00034928814146797856,0.0004340230291891805,2.884925261199621e-05,0.0003920195819786634,1.0,1.0,1.0,True,False,,,,,,,,3.593108872170119,3.233354474109941,4.006918257427714,0.8283131371726982,0.7404495249941142,0.9399449244386398,put
gamma,100.0,0.25,0.03928800094473793,Smoothed AD,0.0006441182008317559,0.0005834018174993958,0.0007017505674140916,-0.0002489733639844857,0.0005955450361807954,1.6427352003840179,1.4241095637230794,1.9091670088011916,False,False,0.6309573444801934,0.6309573444801934,0.0006441182008317559,False,False,,,3.593108872170119,3.233354474109941,4.006918257427714,,,,
digital delta,100.0,0.25,0.03928800094473793,"FD, CRN",0.0006345499836328416,0.0005775783003312361,0.0006940618886605366,-0.0004101468252054599,0.00048539810475818266,1.4999106809502583,1.312755817748359,1.7171591189061841,False,False,2.5118864315095824,2.5118864315095824,0.0006345499836328416,False,False,,,,,,,,,
digital delta,100.0,0.25,0.03928800094473793,Smoothed AD,0.000646185510051344,0.0005828365661341208,0.0007035331330869194,-0.00025290267454983737,0.0005961315414229068,1.5274140310467714,1.3250313338184425,1.7538546214898398,False,False,0.6309573444801934,0.6309573444801934,0.000646185510051344,False,False,,,,,,,,,
digital delta,100.0,0.25,0.03928800094473793,LR,0.0004230585138781909,0.00037481987897502273,0.00046953850154914513,-2.732080574099554e-05,0.00042323482646178457,1.0,1.0,1.0,True,False,,,,,,,,,,,,,,
digital delta,100.0,0.25,0.03928800094473793,LR (parity),0.0004233267711755993,0.0003811430108943598,0.00046392848704932964,2.8719843845477107e-05,0.00042341127916016824,1.0006340902939153,0.9029860409187139,1.1160125402123469,False,True,,,,,,,,,,,1.0006340902939153,0.9029860409187139,1.1160125402123469,put
gamma,110.0,0.25,0.029474056882908363,"FD, CRN",0.000512710731528367,0.0004624092575678927,0.000566431594905695,-0.00017943830237992898,0.0004814907648611709,1.061815516804149,0.9261197924724334,1.2271843662677653,False,True,3.981071705534973,3.981071705534973,0.000512710731528367,False,False,,,2.4997227748731405,2.2646740677913852,2.7649719216784447,,,,
gamma,110.0,0.25,0.029474056882908363,LR,0.0012070220035781637,0.001103873655991948,0.0013098112505307105,0.00016305524407003244,0.001198958972438616,2.4997227748731405,2.2646740677913852,2.7649719216784447,False,False,,,,,,,,2.4997227748731405,2.2646740677913852,2.7649719216784447,,,,
gamma,110.0,0.25,0.029474056882908363,LR (parity),0.0012070220035781637,0.001103873655991948,0.0013098112505307105,0.00016305524407003244,0.001198958972438616,2.4997227748731405,2.2646740677913852,2.7649719216784447,False,False,,,,,,,,2.4997227748731405,2.2646740677913852,2.7649719216784447,1.0,1.0,1.0,call
gamma,110.0,0.25,0.029474056882908363,Pathwise-LR,0.0004828623460613225,0.0004337361731366747,0.0005317557961262083,6.6803546581355355e-06,0.0004840277184901913,1.0,1.0,1.0,True,False,,,,,,,,2.4997227748731405,2.2646740677913852,2.7649719216784447,,,,
gamma,110.0,0.25,0.029474056882908363,Pathwise-LR (parity),0.0004828623460613225,0.0004337361731366747,0.0005317557961262083,6.6803546581355355e-06,0.0004840277184901913,1.0,1.0,1.0,False,True,,,,,,,,2.4997227748731405,2.2646740677913852,2.7649719216784447,1.0,1.0,1.0,call
gamma,110.0,0.25,0.029474056882908363,Smoothed AD,0.0005105715453272508,0.0004598448999403114,0.0005631119642467261,-7.388400850071317e-05,0.0005064651924282958,1.0573852972631859,0.924302339118534,1.218213081661125,False,True,1.0,1.584893192461114,0.0004936541999551993,False,False,,,2.4997227748731405,2.2646740677913852,2.7649719216784447,,,,
digital delta,110.0,0.25,0.026794597166280326,"FD, CRN",0.00048650989514221533,0.0004411646830858831,0.0005342837596982658,-8.750899214168758e-05,0.00047977596778282376,1.2941484777891805,1.2261882576343486,1.372436624487158,False,False,2.5118864315095824,3.981071705534973,0.00047179367505389345,False,False,,,,,,,,,
digital delta,110.0,0.25,0.026794597166280326,Smoothed AD,0.00037593050835506124,0.00033701712149445984,0.0004151166983354023,-0.00013596110907541798,0.00035136249364549566,1.0,1.0,1.0,True,False,1.584893192461114,1.584893192461114,0.00037593050835506124,False,False,,,,,,,,,
digital delta,110.0,0.25,0.026794597166280326,LR,0.00042501488589058906,0.00038225888460753085,0.00046776270490435167,2.4671729328265732e-06,0.00042607424540719015,1.1305676885611218,0.9812757551907939,1.2976990177273127,False,True,,,,,,,,,,,,,,
