part,N,M,B,pipeline,program,flops,total_mb,ms,q25_ms,q75_ms,runs,iqr_pct,noisy
basket,100000,,,one-shot,rng,715000000.0,80.000768,33.25600000243867,32.402999997430015,34.43599999809521,63,6.113182585145889,False
basket,100000,,,one-shot,price,1243141248.0,80.072576,36.56389999378007,34.664999999222346,38.893800003279466,57,11.565505880872902,False
basket,100000,,,one-shot,grad,1793953536.0,163.251328,50.71479999605799,50.304500000493135,51.47439999564085,37,2.306821667912821,False
basket,100000,,1000,chunked,rng,715001141.0,1.20192,50.9986500001105,48.703000000386965,130.83252499745868,52,161.04254719859009,True
basket,100000,,1000,chunked,price,1243157301.0,1.222944,239.65374999897904,168.45747499792196,251.67047499780892,36,34.72217730798766,True
basket,100000,,1000,chunked,grad,1793984748.0,2.110152,174.45930000394583,156.93779999855906,228.14930000458844,9,40.81840291943092,True
basket,100000,,10000,chunked,rng,715000200.0,12.001216,34.15999999924679,32.14560000014899,35.08535000037227,66,8.605825527775481,False
basket,100000,,10000,chunked,price,1243142680.0,12.02224,37.73785000157659,36.77617499852204,38.63692499908211,70,4.930726049529416,False
basket,100000,,10000,chunked,grad,1793960912.0,20.253192,51.84105000080308,51.22287500125822,52.65645000508812,38,2.765327870110064,False
basket,100000,,100000,chunked,rng,715000064.0,80.000832,31.32175000064308,31.05929999583168,31.58369999800925,60,1.6742359611669375,False
basket,100000,,100000,chunked,price,1243140736.0,80.031232,35.37340000184486,34.660699997402844,35.857275002854294,56,3.3826971831631796,False
basket,100000,,100000,chunked,grad,1793957632.0,161.651392,51.79540000244742,50.99997500110476,52.084050001212745,40,2.092994744816649,False
