part,N,M,input_mb,method,B,flops,transc,temp_mb,ran,ms,q25_ms,q75_ms,runs,flops_x,transc_x,time_x,max_rel_diff_vs_oneshot
basket,10000,,4.0,price,,60371208.0,500002.0,4.080016,True,1.0841500006790739,1.0448500033817254,1.1757499996747356,100,1.0,1.0,1.0,
basket,10000,,4.0,one-shot,,115733552.0,500002.0,16.29128,True,3.779049999138806,3.6612999992939876,3.9152749959612265,100,1.9170322382815332,1.0,3.4857261419284606,
basket,10000,,4.0,"chunked B=1,000",1000,189115600.0,500020.0,1.726,True,8.809399994788691,8.6676249957236,9.010950001538731,100,3.132546229653049,1.0000359998560007,8.12562836256126,1.6289862121712082e-12
basket,10000,,4.0,"chunked B=10,000",10000,115733552.0,500002.0,12.371216,True,3.6610999995900784,3.6028750000696164,3.807400002187933,100,1.9170322382815332,1.0,3.376931233959224,2.1662606711065565e-16
basket,100000,,40.0,price,,533141216.0,5000002.0,40.800016,True,6.482500000856817,6.196050000653486,6.753349996870384,100,1.0,1.0,1.0,
basket,100000,,40.0,one-shot,,1083953536.0,5000002.0,162.45128,True,26.760449996800162,26.141850004933076,27.391274998080917,76,2.033145259585408,1.0,4.128106439377267,
basket,100000,,40.0,"chunked B=1,000",1000,1891156000.0,5000200.0,1.726704,True,96.26025000034133,95.32922500329732,98.49134999967646,22,3.5471952706804046,1.00003959998416,14.849247973408136,2.279295491510276e-12
basket,100000,,40.0,"chunked B=10,000",10000,1157335520.0,5000020.0,16.422,True,30.064950002270052,29.706949997489573,30.540824996933225,62,2.170786060554733,1.00000359999856,4.637863478333398,3.1865603199743995e-12
basket,1000000,,400.0,price,,5260840448.0,50000000.0,408.000016,True,63.11239999922691,58.73364999933983,64.5844999999099,35,1.0,1.0,1.0,
basket,1000000,,400.0,one-shot,,10766151680.0,50000000.0,1624.05128,True,291.33569999976316,289.08894999767654,311.2628000017139,7,2.0464699103530006,1.0,4.616140409861325,
basket,1000000,,400.0,"chunked B=1,000",1000,18911560000.0,50002000.0,1.733872,True,914.0613999989,913.860749999003,915.7248000010441,3,3.5947792347873917,1.00004,14.483071472643992,4.326973243910918e-13
basket,1000000,,400.0,"chunked B=10,000",10000,11573355200.0,50000200.0,16.422704,True,279.5328000029258,278.2821749970026,281.3555249995261,8,2.199906139407785,1.000004,4.429126447518236,3.834881602841969e-13
asian,100000,12,9.6,price,,5200008.0,1200003.0,2.40024,True,1.547800002299482,1.4700500014441786,1.6162500014615944,100,1.0,1.0,1.0,
asian,100000,12,9.6,one-shot,,11900014.0,1200003.0,13.600376,True,6.4431999999214895,6.253300000025774,6.672299998172093,100,2.288460710060446,1.0,4.162811726546827,
asian,100000,12,9.6,chunked,10000,11900140.0,1200030.0,2.32092,True,5.415549996541813,4.985949999536388,6.862825002826867,100,2.2884849407923986,1.0000224999437501,3.4988693555344526,3.101035395986069e-16
asian,100000,12,9.6,chunked + checkpoint,10000,15600140.0,2400030.0,2.320984,True,6.746349998138612,6.191074999151169,9.496674998445087,100,3.0000223076579884,2.00001999995,4.358670363170906,3.101035395986069e-16
asian,100000,52,41.6,price,,21200008.0,5200003.0,2.40024,True,4.020399999717483,3.929700000298908,4.197824999209843,100,1.0,1.0,1.0,
asian,100000,52,41.6,one-shot,,47900008.0,5200003.0,45.600376,True,22.935399996640626,22.510099995997734,23.397199998726137,85,2.2594334870062314,1.0,5.704755745262242,
asian,100000,52,41.6,chunked,10000,47900140.0,5200030.0,8.72092,True,37.3587000030966,28.622875001019565,44.52552500333695,100,2.259439713418976,1.0000051923046966,9.292284351239138,1.5999489509399484e-16
asian,100000,52,41.6,chunked + checkpoint,10000,63600140.0,10400030.0,8.720984,True,28.112599997257348,25.07684999727644,36.48634999990463,75,3.0000054716960483,2.0000046153819526,6.992488309430117,1.5999489509399484e-16
asian,100000,252,201.6,price,,101200008.0,25200004.0,2.40024,True,17.43960000385414,17.24294999621634,17.91785000023083,100,1.0,1.0,1.0,
asian,100000,252,201.6,one-shot,,227900000.0,25200004.0,205.600376,True,101.81174999888754,100.18057500019495,103.21017499518348,20,2.251976106563154,1.0,5.837963598728596,
asian,100000,252,201.6,chunked,10000,227900140.0,25200030.0,40.72092,True,94.74294999745325,93.9464749990293,96.67089999675227,22,2.2519774899622536,1.000001031745868,5.432633201249749,3.2908429332220747e-16
asian,100000,252,201.6,chunked + checkpoint,10000,303600080.0,50400030.0,40.720984,True,133.95445000060135,130.98057500064897,145.47589999892807,16,3.00000055335964,2.0000008730157344,7.6810505958277435,3.2908429332220747e-16
asian,100000,1000,800.0,price,,400400000.0,100000000.0,2.40024,True,71.0268000002543,69.37820000166539,73.15405000008468,28,1.0,1.0,1.0,
asian,100000,1000,800.0,one-shot,,901100032.0,100000000.0,804.000376,True,438.1264999974519,430.91850000200793,442.51880000228994,5,2.2504995804195804,1.0,6.168467395347718,
asian,100000,1000,800.0,chunked,10000,901100080.0,100000030.0,160.40092,True,392.70364999902085,392.0422999999573,393.3848750020843,6,2.2504997002997005,1.0000003,5.528950339838129,4.916338938911528e-16
asian,100000,1000,800.0,chunked + checkpoint,10000,1201200080.0,200000040.0,160.400984,True,539.5389999976032,537.3690249998617,540.4375499965681,4,3.0000001998002,2.0000004,7.596273519230368,4.916338938911528e-16
