estimator,mean,bias,std,rmse,rmse_ci_lo,rmse_ci_hi,ratio_vs_best,ratio_ci_lo,ratio_ci_hi,verdict
"Autodiff, naive",0.0,-0.01876201734584689,0.0,0.01876201734584689,,,,,,identically 0 (bias = -gamma); not ranked
"FD, CRN (h = 6.31)",0.01866366475869557,-9.835258715132009e-05,0.00027838237552088796,0.0002949830247760192,0.0002775365759801798,0.0003122331157957401,1.1136297652434946,1.0289635070320358,1.2085980402114,worse than Pathwise-LR (mixed)
Likelihood ratio,0.01878268730353377,2.0669957686878654e-05,0.0009450633990353851,0.0009443441034340714,0.000882715110280284,0.001001977910222462,3.565119392937548,3.3593421205936354,3.783992446412846,worse than Pathwise-LR (mixed)
Pathwise-LR (mixed),0.01877621807167994,1.420072583304885e-05,0.0002647682545065618,0.00026488428558796767,0.00024807357169701305,0.0002815976502811802,1.0,1.0,1.0,reference
"Autodiff, smoothed (eps = 1.6)",0.018576866227228997,-0.00018515111861789474,0.00027473843126688306,0.000331075791819963,0.00031233360295309694,0.00034986329081271593,1.2498883846018614,1.1542541488637883,1.3527753032967311,worse than Pathwise-LR (mixed)
